State,license_holders,"Resident Hunting Licenses,
Tags, Permits and Stamps","Non-Resident Hunting 
Licenses,
Tags, Permits and Stamps","Total Hunting License, 
Tags,Permits & Stamps**","Cost - Resident Hunting 
Licenses,
Tags, Permits and Stamps","Cost - Non-Resident Hunting 
Licenses,
Tags, Permits and Stamps","Gross Cost - Hunting 
Licenses",Name,Abbreviation,Capital,Population (2015),population,area (square miles)
AK,"93,559","423,501","59,235","482,736","$4,859,356","$9,046,715","$13,906,071", Alaska ,AK ,Juneau ,,"731,545","665,384"
AL,"452,400","601,683","45,397","647,080","$9,700,295","$6,715,734","$16,416,029", Arizona ,AZ ,Phoenix ,,"7,278,717","113,990"
AR,"343,300","349,098","150,728","499,826","$7,851,601","$11,271,653","$19,123,254", Arkansas ,AR ,Little Rock ,,"3,017,804","53,179"
AS,0,0,0,0,$0,$0,$0, California ,CA ,Sacramento ,,"39,512,223","163,695"
AZ,"302,383","464,607","88,708","553,315","$13,931,397","$5,968,169","$19,899,566", Colorado ,CO ,Denver ,,"5,758,736","104,094"
CA,"262,009","949,540","25,535","975,075","$20,270,941","$1,114,625","$21,385,566", Connecticut ,CT ,Hartford ,,"3,565,278","5,543"
CO,"296,609","481,253","120,954","602,207","$13,270,492","$49,732,815","$63,003,307", Delaware ,DE ,Dover ,,"973,764","2,489"
CT,"32,052","101,377","4,543","105,920","$1,855,046","$372,108","$2,227,154", Florida ,FL ,Tallahassee ,,"21,477,737","65,758"
DC,0,0,0,0,$0,$0,$0, Georgia ,GA ,Atlanta ,,"10,617,423","59,425"
DE,"15,619","45,997","6,044","52,041","$899,857","$499,867","$1,399,724", Hawaii ,HI ,Honolulu ,,"1,415,872","10,932"
FL,"191,501","275,295","20,104","295,399","$5,745,815","$1,185,179","$6,930,994", Idaho ,ID ,Boise ,,"1,787,065","83,569"
GA,"724,269","1,278,512","156,423","1,434,935","$9,182,934","$9,505,429","$18,688,363", Illinois ,IL ,Springfield ,,"12,671,821","57,914"
GU,543,"1,334",0,"1,334","$15,995",$0,"$15,995", Indiana ,IN ,Indianapolis ,,"6,732,219","36,420"
HI,"10,608","10,697","1,274","11,971","$424,453","$133,770","$558,223", Iowa ,IA ,Des Moines ,,"3,155,070","56,273"
